"","Plant_ID","date_measured_1","site","height_1","stem_diameter_1","leaf_l_1","leaf_w_1","N_leaves_1","herb_0_1","herb_1_1","herb_2_1","herb_3_1","herb_4_1","herb_5_1","herb_6_1","notes_1","treatment_herb_level","date_soil_pre","date_soil_post","flower_may_26","munched_may_24","height_2","stem_diameter_2","leaf_l_2","leaf_w_2","N_leaves_2","herb_0_2","herb_1_2","herb_2_2","herb_3_2","herb_4_2","herb_5_2","herb_6_2","notes_2","umbels_tot","umbels_open","umbels_sampled","nectar_date","nectar_umbel_num_from_bottom","flowers_on_nectar_umbel_tot","flowers_on_nectar_umbel_open","removals_nectar_umbel","insertions_all_umbels","open_flowers_all_umbels","pods_date","tot_pods_ever","tot_pods_present","viable_pods_present","date_floral_tissue_first_noticed","soil_photo_notes","poll_quant_date_t1","umbels_tot_t1","umbels_open_t1","nectar_umbel_num_t1","removals_t1","insertions_t1","open_flowers_t1","nectar_flowers_tot_t1","nectar_flowers_open_t1","poll_nec_notes_t1","poll_quant_date_t2","umbels_tot_t2","umbels_open_t2","nectar_umbel_num_t2","removals_t2","insertions_t2","open_flowers_t2","nectar_flowers_tot_t2","nectar_flowers_open_t2","poll_nect_notes_t2","nect_sug_t1","nect_sug_t2","pod_notes","herb","logHerb","year","measureElapsed","photoElapsed","growthRate","herbRate","flowered_binary","survival","postHerbPhotoNoTime","avg_herb_2"
"11",11,"2021-05-18","sky",27.9,8.3,13.5,5.3,10,10,0,0,0,0,0,0,"",2,"5/26/21","6/2/21",0,0,76.7,9,13.6,5.4,32,3,12,9,0,0,0,8,"",0,0,"","",NA,NA,NA,NA,NA,NA,"",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.138711659924424,0.129897500462707,1,45,14,0.0388689765033851,0.00990797570888746,0,NA,0.138711659924424,2.4375
"12",12,"2021-05-18","sky",20.7,6,11.5,3.8,10,9,1,0,0,0,0,0,"",2,"5/26/21","6/2/21",0,0,52,6.4,11.5,4.5,26,3,9,7,0,0,0,7,"",0,0,"","",NA,NA,NA,NA,NA,NA,"",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.522485086020998,0.420343924837022,1,45,14,0.0336017176596887,0.0373203632872141,0,NA,0.522485086020997,2.5
"13",13,"2021-05-18","sky",22.4,6.4,10.4,3.8,8,8,0,0,0,0,0,0,"",0,"5/26/21","6/2/21",0,0,36.6,7,9.4,4.5,18,0,10,0,0,0,0,8,"",0,0,"","",NA,NA,NA,NA,NA,NA,"",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,45,14,0.0140873015873016,NA,0,NA,NA,3.22222222222222
"14",14,"2021-05-18","sky",28.6,11.1,10.9,4.7,10,10,0,0,0,0,0,0,"",1,"5/26/21","6/2/21",0,0,86.9,8.9,13,6.4,26,0,15,2,0,0,0,9,"",0,0,"","",NA,NA,NA,NA,NA,NA,"",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,45,14,0.0452991452991453,NA,0,NA,NA,2.80769230769231
"15",15,"2021-05-26","sky",26.4,2.4,6.2,2.2,6,6,0,0,0,0,0,0,"reselected due to flowering",3,"5/26/21","6/2/21",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gone",0,NA,"","",NA,NA,NA,NA,NA,NA,"",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.688322911900768,-1.16578760116904,1,37,8,NA,-0.0860403639875959,0,NA,-0.688322911900767,NA
"16",16,"2021-05-18","sky",21.5,6,9.8,3.4,10,10,0,0,0,0,0,0,"",3,"5/26/21","6/2/21",0,0,46.8,5.3,8.3,6.2,22,1,1,3,9,0,3,6,"",0,0,"","",NA,NA,NA,NA,NA,NA,"",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.486286164422802,-0.666088908686482,1,45,14,0.0261498708010336,-0.0347347260302001,0,NA,-0.486286164422801,3.69565217391304
"17",17,"2021-05-18","sky",26.3,8.7,13.8,6.8,10,8,1,1,0,0,0,0,"",1,"5/26/21","6/2/21",0,0,51.6,9.8,15.4,8.2,26,3,10,0,1,0,0,12,"bitten",0,0,"","",NA,NA,NA,NA,NA,NA,"",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03585397467489,0.710915374443703,1,45,14,0.0213772708069286,0.073989569619635,0,NA,1.03585397467489,3.26923076923077
"18",18,"2021-05-26","sky",30.8,5.8,14.4,5.2,14,14,0,0,0,0,0,0,"reselected due to flowering",0,"5/26/21","6/2/21",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bitten off",0,NA,"","",NA,NA,NA,NA,NA,NA,"",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.374278380472685,-0.468849704029891,1,37,8,NA,-0.0467847975590856,0,NA,-0.374278380472685,NA
"19",19,"2021-05-18","sky",25.5,5.4,13.4,4.2,12,12,0,0,0,0,0,0,"",3,"5/26/21","6/2/21",0,0,30.7,4.9,3.5,4.5,16,0,0,3,10,0,0,3,"",0,0,"","",NA,NA,NA,NA,NA,NA,"",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.707296087189756,-1.22859371738511,1,45,14,0.00453159041394335,-0.0505211490849825,0,NA,-0.707296087189755,3.375
"20",20,"2021-05-26","sky",17.8,4.3,9.5,3.7,8,8,0,0,0,0,0,0,"reselected due to flowering",2,"5/26/21","6/2/21",0,0,24.1,4.4,6,3.7,16,0,8,0,0,0,0,8,"",0,0,"","",NA,NA,NA,NA,NA,NA,"",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.119609844618351,-0.127390111375937,1,37,8,0.0095657455208017,-0.0149512305772939,0,NA,-0.119609844618351,3.5
"21",21,"2021-05-18","sky",30.8,9.4,13.5,5.1,12,12,0,0,0,0,0,0,"",2,"5/26/21","6/2/21",0,0,48.2,11.2,14.2,5.5,28,0,14,10,0,0,0,4,"",0,0,"","",NA,NA,NA,NA,NA,NA,"",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.552597355507747,0.439929241721051,1,45,14,0.0125541125541126,0.0394712396791248,0,NA,0.552597355507747,2.07142857142857
"22",22,"2021-05-26","sky",13.4,4.8,7.5,2.9,6,6,0,0,0,0,0,0,"reselected due to flowering",1,"5/26/21","6/2/21",0,0,29.1,4.8,11,3.6,16,3,6,1,0,0,0,6,"",0,0,"","",NA,NA,NA,NA,NA,NA,"",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333231227919704,0.287605490459233,1,37,8,0.0316659943525615,0.041653903489963,0,NA,0.333231227919704,2.75
"23",23,"2021-05-18","sky",40.4,8.8,13.5,4.4,12,12,0,0,0,0,0,0,"",2,"5/26/21","6/2/21",0,0,74.6,7.9,11.8,5.2,22,1,10,0,1,1,0,9,"",0,0,"","",NA,NA,NA,NA,NA,NA,"",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00163855752091069,-0.00163990142452824,1,45,14,0.0188118811881188,-0.000117039822922192,0,NA,-0.00163855752091069,3.22727272727273
"24",24,"2021-05-26","sky",65,7.5,14,6.4,18,14,3,1,0,0,0,0,"reselected due to flowering",0,"5/26/21","6/2/21",0,0,93.2,8.9,13.2,5.5,30,12,10,0,0,0,0,8,"",0,0,"","",NA,NA,NA,NA,NA,NA,"",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0187437202833204,0.0185702214148649,1,37,8,0.0117255717255717,0.00234296503541505,0,NA,0.0187437202833204,1.93333333333333
"25",25,"2021-05-26","sky",32.9,5.8,10.2,4.6,10,10,0,0,0,0,0,0,"reselected due to flowering",0,"5/26/21","6/2/21",0,0,69.4,6.3,14.2,5.4,22,12,7,0,0,0,0,3,"flowers dead",1,1,"","",NA,NA,NA,NA,NA,NA,"",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.35763359276207,0.857658401051267,1,37,8,0.0299843916865194,0.169704199095259,1,NA,1.35763359276207,1.13636363636364
"26",26,"2021-05-18","sky",25.1,6.5,12.7,3.9,14,14,0,0,0,0,0,0,"",2,"5/26/21","6/2/21",0,0,49,6.4,9.2,4.3,22,1,7,6,0,0,0,8,"",0,0,"","",NA,NA,NA,NA,NA,NA,"",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0845862628447809,-0.0883791441511192,1,45,14,0.0211598052235502,-0.00604187591748435,0,NA,-0.0845862628447809,3.04545454545455
"27",27,"2021-05-26","sky",24.8,7.9,12.5,6,14,13,0,1,0,0,0,0,"reselected due to flowering",1,"5/26/21","6/2/21",0,0,49.7,7.5,13.5,5.9,24,4,13,0,0,0,0,7,"",0,0,"","",NA,NA,NA,NA,NA,NA,"",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.177177471412763,0.163119599760115,1,37,8,0.0271360069747167,0.0221471839265953,0,NA,0.177177471412762,2.29166666666667
"28",28,"2021-05-26","sky",34.5,6.8,13.4,6.3,12,12,0,0,0,0,0,0,"reselected due to flowering",0,"5/26/21","6/2/21",0,0,76.7,7,13.8,6.6,30,13,10,0,0,0,0,7,"",0,0,"","",NA,NA,NA,NA,NA,NA,"",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.430921669270252,0.358318760620661,1,37,8,0.0330591461026244,0.0538652086587815,0,NA,0.430921669270252,1.73333333333333
"29",29,"2021-05-26","sky",30.3,5.5,12.5,4,12,12,0,0,0,0,0,0,"reselected due to flowering",2,"5/26/21","6/2/21",0,0,28.3,5.5,8.4,4.5,10,0,0,5,0,0,0,5,"",0,0,"","",NA,NA,NA,NA,NA,NA,"",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.513364995012403,-0.720240913308907,1,37,8,-0.00178396218000178,-0.0641706243765503,0,NA,-0.513364995012402,4
"30",30,"2021-05-18","sky",20.4,7.3,12.6,4.3,14,14,0,0,0,0,0,0,"",0,"5/26/21","6/2/21",0,0,48.4,6.4,13.2,5,22,8,10,0,0,0,0,4,"",0,0,"","",NA,NA,NA,NA,NA,NA,"",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.488774045543152,0.397952993055278,1,45,14,0.0305010893246187,0.0349124318245109,0,NA,0.488774045543153,1.54545454545455
"31",31,"2021-05-26","sky",31.3,4.5,10.6,3.4,14,14,0,0,0,0,0,0,"reselected due to flowering",2,"5/26/21","6/2/21",0,0,43.8,4.8,11.6,4.2,20,0,8,10,0,0,0,2,"",0,0,"","",NA,NA,NA,NA,NA,NA,"",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.155193474852598,-0.168647642163896,1,37,8,0.0107935411449788,-0.0193991843565747,0,NA,-0.155193474852598,2
"32",32,"2021-05-26","sky",15.6,3.9,7.3,2,8,5,3,0,0,0,0,0,"reselected due to flowering",3,"5/26/21","6/2/21",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,NA,"","",NA,NA,NA,NA,NA,NA,"",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.786831314961381,-1.54567147816037,1,37,8,NA,-0.0983539143701726,0,NA,-0.786831314961381,NA
"33",33,"2021-05-26","sky",29.7,5.5,11.2,4.2,14,14,0,0,0,0,0,0,"reselected due to flowering",0,"5/26/21","6/2/21",0,0,48.8,6.3,11.3,4.5,20,0,19,2,6,0,0,1,"",0,0,"","",NA,NA,NA,NA,NA,NA,"",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.427663470052376,0.356039170914551,1,37,8,0.0173810173810174,0.0534579337565471,0,NA,0.427663470052377,1.67857142857143
"34",34,"2021-05-26","sky",7.9,4,6.8,1.8,6,6,0,0,0,0,0,0,"reselected due to flowering",1,"5/26/21","6/2/21",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,NA,"","",NA,NA,NA,NA,NA,NA,"",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.197142394122731,-0.21957790843442,1,37,8,NA,-0.0246427992653414,0,NA,-0.197142394122731,NA
"35",35,"2021-05-18","sky",13.1,4.9,9.7,3.3,8,8,0,0,0,0,0,0,"",3,"5/26/21","6/2/21",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,NA,"","",NA,NA,NA,NA,NA,NA,"",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.574402824712669,-0.854261977989578,1,45,14,NA,-0.0410287731937621,0,NA,-0.574402824712669,NA
"36",36,"2021-05-26","sky",20.5,2.9,9.9,2.7,8,8,0,0,0,0,0,0,"reselected due to flowering",0,"5/26/21","6/2/21",0,0,22.8,3.2,8.7,3,12,0,4,3,0,0,0,5,"",0,0,"","",NA,NA,NA,NA,NA,NA,"",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.251091837362367,0.224016639951271,1,37,8,0.0030323005932762,0.0313864796702959,0,NA,0.251091837362367,3.33333333333333
"37",37,"2021-05-26","sky",36.2,4.8,11.8,4.3,12,12,0,0,0,0,0,0,"reselected due to flowering",2,"5/26/21","6/2/21",0,0,47.9,5,11.2,3.9,18,1,5,8,0,0,0,4,"",0,0,"","",NA,NA,NA,NA,NA,NA,"",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.147363749036948,-0.159422257418547,1,37,8,0.00873525459160818,-0.0184204686296185,0,NA,-0.147363749036948,2.5
"38",38,"2021-05-18","sky",30.4,6.9,14,5.4,12,12,0,0,0,0,0,0,"",3,"5/26/21","6/2/21",0,0,60,6.3,12.9,5.8,24,1,8,2,8,0,0,5,"",0,0,"","",NA,NA,NA,NA,NA,NA,"",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.723770314192849,-1.28652256439377,1,45,14,0.0216374269005848,-0.0516978795852035,0,NA,-0.723770314192849,2.75
"39",39,"2021-05-18","sky",19.8,5.4,9.8,3.4,10,10,0,0,0,0,0,0,"",3,"5/26/21","6/2/21",0,0,41.2,5.6,13.1,4.9,22,0,6,1,2,5,0,8,"",0,0,"","",NA,NA,NA,NA,NA,NA,"",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.58233134176171,-0.873066844437639,1,45,14,0.0240179573512907,-0.0415950958401222,0,NA,-0.582331341761711,3.72727272727273
"40",40,"2021-05-18","sky",25,6,12.6,3.7,12,11,0,0,0,0,1,0,"",0,"5/26/21","6/2/21",0,0,53.3,5.8,13.2,4.2,24,2,16,0,0,0,0,6,"",0,0,"","",NA,NA,NA,NA,NA,NA,"",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.612381647953258,0.477712370375992,1,45,14,0.0251555555555556,0.0437415462823755,0,NA,0.612381647953257,2.16666666666667
"41",41,"2021-05-19","rv",32.4,8.5,10.4,3.1,8,7,0,0,0,0,0,1,"one leaf was accidentally pulled off",3,"5/21/21","5/27/21",0,0,98.2,10.6,20,7,32,18,1,1,1,0,0,11,"",3,3,"no","",NA,NA,NA,NA,NA,NA,"9/26/21",9,2,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.17507858433326,-0.192467150921667,1,38,9,0.0534437946718649,-0.0194531760370289,1,NA,-0.17507858433326,2.25
"42",42,"2021-05-19","rv",46.5,17,11.1,4.5,12,12,0,0,0,0,0,0,"",0,"5/21/21","5/27/21",0,0,138.5,19.6,23.1,13,34,11,16,0,0,0,0,7,"",8,5,"yes","6/27/21",3,69,65,154,17,65,"",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.85151512379837,1.3484666095326,1,38,9,0.0520656479909451,0.316835013755375,1,NA,2.85151512379837,1.70588235294118
"43",43,"2021-05-19","rv",30.9,8.4,10,3.7,8,8,0,0,0,0,0,0,"",1,"5/21/21","5/27/21",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bitten off",0,NA,"no","",NA,NA,NA,NA,NA,NA,"",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.69256916373563,0.990495817271181,1,38,9,NA,0.18806324041507,0,NA,1.69256916373563,NA
"44",44,"2021-05-19","rv",39.8,13.3,14.5,6.3,12,12,0,0,0,0,0,0,"basal leaves yellow",2,"5/21/21","5/27/21",1,0,99.3,11.9,16.5,8.2,30,11,4,7,0,0,0,8,"",6,3,"yes","6/27/21",3,49,48,84,5,74,"9/26/21",15,3,2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.177190054318265,-0.195030033670975,1,38,9,0.0393414440624174,-0.0196877838131405,1,NA,-0.177190054318265,2.2
"45",45,"2021-05-19","rv",28.7,9.5,10.7,4.9,8,8,0,0,0,0,0,0,"",0,"5/21/21","5/27/21",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bitten off",0,NA,"no","",NA,NA,NA,NA,NA,NA,"",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.841409624627365,-1.84143065653682,1,38,9,NA,-0.0934899582919295,0,NA,-0.841409624627366,NA
"46",46,"2021-05-19","rv",30.4,7,9,3,8,8,0,0,0,0,0,0,"",0,"5/21/21","5/27/21",0,0,54.5,6.5,15,5,24,15,2,0,0,0,0,7,"",0,0,"no","",NA,NA,NA,NA,NA,NA,"",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,38,9,0.020862188365651,NA,0,NA,NA,1.83333333333333
